"target","fips","samplesize","p1","p2","p3","p4","p5","p6","p7","p8","cverror1","cverror2","cverror3","cverror4","cverror5","cverror6","cverror7","cverror8","MSEout1","MSEout2","MSEout3","MSEout4","MSEout5","MSEout6","MSEout7","MSEout8","MSEoutSA","MSEttest1","MSEttest2","MSEttest3","MSEttest4","MSEttest5","MSEttest6","MSEttest7","MSEttest8"
4,480,64,0,0,"0","0","0",0,1,0,-13872.2333948178,-3820.55294954646,-5917.30016707069,-1872.42981059374,-5936.33527688758,-5936.33527688758,8926017574691709952,-13711.5110055447,4996.51690038719,7635.79884035609,6580.22681500355,8166.37635850822,5948.18606882955,5948.18606882955,14979748692632283136,4928.92738238514,10031.2524680166,5.19655902306708e-29,4.47691342110924e-23,6.66964601154213e-35,3.98389989844564e-14,7.30965020440351e-42,7.30965020440351e-42,4.07441754486886e-108,4.72564161608137e-30
4,480,128,0,0,"0","0","0",0,1,0,-807.938301946217,-2.75495325348493,-414.365405507338,51.4761122062191,-881.537737731589,-881.537737731589,1.71550669032494e+20,-825.038266329866,4532.2163278122,7413.25388842117,6750.72399018551,8199.36080790311,6108.49865298253,6108.49865298253,43942058950140862464,4529.07023710218,9470.76000361745,8.4692779192531e-35,4.52243557454962e-15,6.11101861444237e-26,5.14168531163667e-08,1.63955816914893e-34,1.63955816914893e-34,2.53940835175234e-87,4.0310165417964e-35
4,480,256,0,0,"0","0","0",0,1,0,-3330.32175720266,-1813.50241812821,-2420.59287793307,-1543.99797370489,-2792.26407563107,-2792.26407563107,419897556381242368,-3335.16037104383,3705.28698296322,6257.76663451807,5700.38989246159,7128.49939550849,5130.0480307609,5130.0480307609,688874171137948160,3703.40254995744,9036.76695181517,7.60960374372212e-40,1.28068398261958e-23,9.71349090239265e-34,7.53443327657764e-16,1.05586386399656e-41,1.05586386399656e-41,1.0338949964438e-90,5.56377281297529e-40
4,481,16,0.443,0.0862,"0.0473","0","0.0928",0.0928,0.9898,0.1348,-23263.3274879866,-15541.0156129364,-15541.0156129364,-15541.0156129364,-16393.6042003614,-16393.6042003614,2.1353042141345e+19,-24436.2407349403,12746.0348092106,28320.0909795453,27372.2386925228,31469.2451794532,24607.3080890471,24607.3080890471,32486497152298635264,11790.8412035893,36368.8465240258,1.05559735858888e-40,1.14643185889239e-35,1.18665450000111e-27,2.97785192143552e-17,1.56073629619407e-31,1.56073629619407e-31,8.92711768799856e-93,1.77600734916987e-45
4,481,32,0,0,"0","0","0",0,1,0,-36183.1777971369,-18651.5091529224,-22908.1705783028,-17091.1087850523,-27988.6194161877,-27988.6194161877,960051157144969600,-36855.0084136019,10998.417007309,26675.7597011776,26065.2942541756,29972.1767151365,23604.9210846464,23604.9210846464,468340448062775,10962.2304300395,34283.4810105702,5.88983521400247e-48,2.51229462168902e-38,2.61773597462816e-28,2.39329475334705e-16,5.86679538538544e-32,5.86679538538544e-32,1.0018653064709e-111,1.91543884217354e-48
4,481,64,0,0,"0","0","0",0,1,0,-51338.7991884083,-14243.5339546534,-19190.4240773307,-13262.7912943858,-28885.4979274717,-28885.4979274717,3792976656106120192,-51220.6017313821,10675.4319837422,27354.8307303375,25942.8438034543,30644.9351278622,23555.2147705252,23555.2147705252,9719354666271248384,10686.1014522602,36993.2530230421,6.03101947226567e-53,4.09575003639432e-46,8.85728412402394e-39,1.12357176017649e-24,1.52859952607256e-40,1.52859952607256e-40,1.18161640293272e-93,5.27971281739485e-53
4,481,128,0,0,"0","0","0",0,1,0,-36402.643442763,-10697.8863417172,-11295.1130771226,-9876.31827719873,-15402.0372213557,-15402.0372213557,2.22228231495806e+21,-36416.4964020727,10568.1706118261,27128.9597348011,26369.4036025727,27128.9597348011,23914.0183295929,23914.0183295929,8.70783693364824e+20,10570.0207564222,34912.7420936115,2.68721571336175e-55,5.46267917458857e-37,1.86503392900264e-28,5.46267917458857e-37,1.09230253990133e-32,1.09230253990133e-32,1.56608177371586e-99,2.33562914036932e-55
4,482,32,0.7191,0.0625,"0.45","0.0625","0.5239",0.5239,1,0.4654,466.366747198898,-182.707036661454,29.798940910293,4.3418056499828,538.609832014908,538.609832014908,2724497721530676736,379.132246527086,2311.16987864382,2366.83081548872,2288.17223803554,2366.83081548872,2356.77928231146,2356.77928231146,10495500747350800384,2215.60991613911,2738.6825291415,2.29768923842152e-05,1.74978596381101e-25,4.59567968272121e-16,1.74978596381101e-25,7.39263511487094e-15,7.39263511487094e-15,1.43946990583024e-97,1.08826838366835e-08
4,482,64,0,0,"0","0","0",0,1,0.0181,-908.167571306975,-399.44876156684,-772.052907143232,-341.80807770421,-491.067314392694,-491.067314392694,2268699977394155520,-904.774977970587,2028.12437600171,2411.2515900124,2355.93033654641,2321.0842635035,2355.93033654641,2355.93033654641,102649935845118528,2022.5361154042,2841.82582376647,3.3476909049641e-14,1.35239939913985e-27,1.91761807031631e-16,6.92281295931036e-30,1.91761807031631e-16,1.91761807031631e-16,1.6796775135398e-86,2.54798506120773e-15
4,482,128,0,0,"0","0","0",0,1,0,-437.89797586597,-361.082795967572,-392.769979840521,-263.738578521333,-392.769979840521,-392.769979840521,8898181013829708800,-445.197489874983,1822.29521469317,2093.88524468829,2169.01364050947,2188.58216580532,2169.01364050947,2169.01364050947,3266796362624944640,1823.22837733404,2604.44759704532,4.910217731307e-23,1.68185046423682e-34,2.45671799047246e-15,1.0939717132062e-40,2.45671799047246e-15,2.45671799047246e-15,8.18090341572042e-89,1.14374069984294e-23
