"target","fips","samplesize","MSEout_OW","MSEout_OW_pos","MSEout_CWM","MSEout_SA","p_OW","p_OW_pos","p_CWM"
1,420,16,278.265639241669,132.753093363848,143.666666666667,149.512,0.1925,0.1257,"0.2599"
1,420,20,203.838791749311,61.724359417059,44.7152777777778,49.365,0.0478,0.0534,"0.3617"
1,420,24,55.2245477102166,35.4112907782679,32.7685185185185,29.6933333333333,0.0227,0.0017,"0.0018"
1,420,28,43.844739966524,36.6373634312543,36.7361111111111,35.995,0,0.0308,"3e-04"
1,421,16,12.6185805873515,19.1912925170067,9.70238095238095,9.83047619047619,0,2e-04,"0"
1,421,20,7.72932564958565,6.85905581915548,6.68382352941176,6.99764705882353,0.8617,0.0054,"0.6651"
1,421,24,6.26990710135955,6.10612859224426,5.76442307692308,6.68,0.8229,0.008,"0.4701"
1,421,28,5.5831076745665,5.41458437759259,4.86805555555556,5.8,0.3233,0.0447,"0.234"
1,422,12,69.9640707573776,61.9144402635487,70.33,68.3824,0.9885,0.9208,"0.9536"
1,422,16,94.4247720257633,19.7678604914318,14.7037037037037,21.432380952381,0.9824,0.8132,"0.7328"
1,422,20,25.3203695098683,15.5605232793079,8.30065359477124,7.87529411764706,0.3934,0.0898,"0.41"
1,422,24,7.71676793446188,4.59612750098744,3.58119658119658,3.46153846153846,0.6875,0.0259,"0.9693"
1,422,28,6.11664171275299,5.20024931544696,4.80246913580247,4.51555555555556,0.6036,0.4256,"0.4426"
1,423,12,94.557916897588,98.9134349030471,114.231770833333,115.118333333333,0.7709,0.5085,"0.4509"
1,423,16,78.0878923905257,21.15,19.7222222222222,21.712,0.7544,0.5433,"0.1807"
1,423,20,16.3477453222171,13.875,13.7152777777778,16.1175,0.1099,0.1249,"0.0708"
1,423,24,10.2296750602863,9.8787836388915,9.86111111111111,10.86,0.0208,0.0135,"0.0093"
1,423,28,8.18231298123808,13.01205,13.7638888888889,15.515,0.0015,1e-04,"0.0031"
1,424,16,579.636862248121,196.750462313735,143.645833333333,175.238095238095,0.9263,0.3579,"0.7286"
1,424,20,291.542334859676,198.255152865192,133.558823529412,173.263529411765,0.992,0.9435,"0.9647"
