,X,Year,Actual,Forecaster15,Forecaster16,Forecaster24,Forecaster37,Forecaster39,Forecaster89,Forecaster93,Forecaster94,Forecaster95,targettime,predtime,aheadtime
117,2011Dec_2010Q1,1,2.8,1.5,2.3,1.3,1.89,1.3,1.4,2,1.2,1.63505606,2011Dec,2010Q1,Q1_DEC
118,2011Jun_2009Q3,2,2.7,1.5,1.1,1.7,1.7,1.7,1.8,2,1.1,1.9,2011Jun,2009Q3,Q3_JUN_2
119,2011Jun_2010Q3,1,2.7,1.6,1.7,1.5,1.4,1.6,1.8,1.8,0.7,1.4898,2011Jun,2010Q3,Q3_JUN
120,2011Mar_2009Q2,2,2.7,2,1.8,2.2,1.4,1.5,1.636858849,2,1.4,1.1,2011Mar,2009Q2,Q2_MAR_2
121,2011Mar_2010Q2,1,2.7,1.6,1.8,1,1.3,1.4,1.7,2,1.1,1.622172,2011Mar,2010Q2,Q2_MAR
122,2011Sep_2009Q4,2,3,1.5,1.3,1.636428862,2.1,1.5,1.6,2,1.7,1.83715186,2011Sep,2009Q4,Q4_SEP_2
123,2011Sep_2010Q4,1,3,1.6,2,1.7,1.7,1.7,1.6,1.8,0.9,1.691,2011Sep,2010Q4,Q4_SEP
124,2012_2010Q3,2,2.5,1.6,1.8,1.8,1.9,1.4,1.8,2,1.2,1.6581,2012,2010Q3,Q3_2
125,2012_2010Q4,2,2.5,1.6,1.8,1.8,1.7,2,1.9,2,1.3,1.759,2012,2010Q4,Q4_2
126,2012_2011Q1,1,2.5,1.8,1.8,1.8,2,1.5,2,1.8,1.8,1.82724719,2012,2011Q1,Q1_1
127,2012_2011Q2,1,2.5,1.9,2.2,1.9,2.3,1.9,1.9,2,2.5,1.947131579,2012,2011Q2,Q2_1
128,2012_2011Q3,1,2.5,2,2,2,2.1,2.056090307,1.9,2,2.5,2.000276744,2012,2011Q3,Q3_1
129,2012_2011Q4,1,2.5,1.8,1.9,1.8,1.8,2,1.7,2,3,1.900276744,2012,2011Q4,Q4_1
130,2012Dec_2011Q1,1,2.2,1.6,1.8,2.1,1.9,1.6,2.1,1.9,1.7,1.784630362,2012Dec,2011Q1,Q1_DEC
131,2012Jun_2010Q3,2,2.4,1.6,1.8,1.7,1.9,1.4,1.8,2,1.2,1.6204,2012Jun,2010Q3,Q3_JUN_2
132,2012Jun_2011Q3,1,2.4,2,2.1,1.9,2,2.042403654,1.9,2,2.5,1.989428571,2012Jun,2011Q3,Q3_JUN
133,2012Mar_2010Q2,2,2.7,1.6,1.7,1.7,1.9,1.5,1.7,2,1.5,1.939554,2012Mar,2010Q2,Q2_MAR_2
134,2012Mar_2011Q2,1,2.7,2,2.4,1.6,2.2,1.8,1.8,2,2.7,2.253916667,2012Mar,2011Q2,Q2_MAR
135,2012Sep_2010Q4,2,2.6,1.6,1.8,1.8,1.9,1.9,1.9,2,1.6,1.847181144,2012Sep,2010Q4,Q4_SEP_2
136,2012Sep_2011Q4,1,2.6,1.8,1.8,1.7,1.7,1.9,1.6,2,3,1.929428571,2012Sep,2011Q4,Q4_SEP
137,2013_2011Q3,2,1.35,1.8,1.8,1.9,2,1.943086419,1.8,2,1.7,1.930276744,2013,2011Q3,Q3_2
138,2013_2011Q4,2,1.35,1.8,1.7,1.5,2.2,1.6,1.8,2,2.2,1.860276744,2013,2011Q4,Q4_2
139,2013_2012Q1,1,1.35,1.7,1.6,1.7,2.2,1.6,1.8,2,2.4,1.801976744,2013,2012Q1,Q1_1
140,2013_2012Q2,1,1.35,1.7,2,1.7,1.9,1.8,1.9,1.9,2.4,1.851043956,2013,2012Q2,Q2_1
141,2013_2012Q3,1,1.35,1.9,1.7,1.7,1.9,1.8,1.9,1.9,2.6,1.665430108,2013,2012Q3,Q3_1
142,2013_2012Q4,1,1.35,1.9,2.1,1.8,2,1.9,2.1,2.1,2.6,1.751216931,2013,2012Q4,Q4_1
143,2013Dec_2012Q1,1,0.8,1.8,1.6,1.6,1.8,1.7,2,1.9,1.8,1.657678571,2013Dec,2012Q1,Q1_DEC
144,2013Jun_2011Q3,2,1.6,1.8,1.8,1.9,2,1.839594707,1.8,2,1.7,1.904428571,2013Jun,2011Q3,Q3_JUN_2
145,2013Jun_2012Q3,1,1.6,1.8,1.6,1.7,1.9,1.8,1.8,1.9,2.6,1.67,2013Jun,2012Q3,Q3_JUN
146,2013Mar_2011Q2,2,1.7,1.7,2,1.8,1.9,1.9,2.1,2,1.7,1.894166667,2013Mar,2011Q2,Q2_MAR_2
147,2013Mar_2012Q2,1,1.7,1.7,2.1,2.2,1.9,1.8,2,1.9,2.8,1.555416667,2013Mar,2012Q2,Q2_MAR
148,2013Sep_2011Q4,2,1.1,1.75,1.6,1.4,2.2,1.6,1.8,2,1.9,1.904428571,2013Sep,2011Q4,Q4_SEP_2
149,2013Sep_2012Q4,1,1.1,1.9,1.9,1.7,1.7,1.7,1.9,2,2.4,1.875,2013Sep,2012Q4,Q4_SEP
150,2014_2012Q3,2,0.441666667,1.9,1.7,1.5,2.1,2.2,1.9,2,2.2,1.840430108,2014,2012Q3,Q3_2
151,2014_2012Q4,2,0.441666667,1.9,2,1.7,2,1.9,1.9,1.9,2.2,1.851216931,2014,2012Q4,Q4_2
152,2014_2013Q1,1,0.441666667,1.8,1.8,1.6,2.1,1.9,2.1,2,2.4,1.845,2014,2013Q1,Q1_1
153,2014_2013Q2,1,0.441666667,1.8,1.3,1.6,2,1.8,1.9,2,2.4,1.515,2014,2013Q2,Q2_1
154,2014_2013Q3,1,0.441666667,1.5,1.2,1.5,1.6,1.657824776,1.6,2,2.2,1.49,2014,2013Q3,Q3_1
