,X,Year,Actual,Forecaster15,Forecaster16,Forecaster24,Forecaster37,Forecaster39,Forecaster89,Forecaster93,Forecaster94,Forecaster95,targettime,predtime,aheadtime
212,2018_2017Q1,1,1.758333333,1.5,1.3,1.5,1.8,1.4,1.6,1.5,1.758,0.750960631,2018,2017Q1,Q1_1
213,2018_2017Q2,1,1.758333333,1.625,1.3,1.5,1.7,1.5,1.6,1.6,1.758,1.543761731,2018,2017Q2,Q2_1
214,2018_2017Q3,1,1.758333333,1.625,1.4,1.5,1.6,1.4,1.426652352,1.5,1.758,1.638308822,2018,2017Q3,Q3_1
215,2018_2017Q4,1,1.758333333,1.55,1.6,1.4,1.4,1.4,1.647614267,1.6,1.758,1.727473076,2018,2017Q4,Q4_1
216,2018Dec_2017Q1,1,1.5,1.6,1.3,1.508345218,1.7,1.5,1.7,1.6,1.574,1.018259501,2018Dec,2017Q1,Q1_DEC
217,2018Jun_2016Q3,2,2,1.6,1.1,1.76113018,1.7,1.4,1.59,1.7,1.9,1.602504266,2018Jun,2016Q3,Q3_JUN_2
218,2018Jun_2017Q3,1,2,1.625,1.5,1.6,1.8,1.54,1.475972545,1.7,1.669,1.615673078,2018Jun,2017Q3,Q3_JUN
219,2018Mar_2016Q2,2,1.4,1.6,1.1,1.914,1.8,1.4,1.4563,1.7,1.855,1.557,2018Mar,2016Q2,Q2_MAR_2
220,2018Mar_2017Q2,1,1.4,1.625,1.2,1.356664261,1.8,1.6,1.46798127,1.5,1.659,1.335173311,2018Mar,2017Q2,Q2_MAR
221,2018Sep_2016Q4,2,2.1,1.7,1,1.609474323,1.9,1.5,1.7,1.1,1.9,1.018259501,2018Sep,2016Q4,Q4_SEP_2
222,2018Sep_2017Q4,1,2.1,1.625,1.6,1.5,1.3,1.5,1.840212569,1.6,1.669,1.257328193,2018Sep,2017Q4,Q4_SEP
223,2019Jun_2017Q3,2,1.3,1.75,1.7,1.8,1.9,1.5,1.743513851,1.8,1.594,1.735889301,2019Jun,2017Q3,Q3_JUN_2
224,2019Jun_2018Q3,1,1.3,1.621752762,1.5,1.231898429,1.8,1.9,1.6,1.6,1.669,1.676200425,2019Jun,2018Q3,Q3_JUN
225,2019Mar_2017Q2,2,1.4,1.75,1.3,1.761483236,1.9,1.9,1.84346182,1.7,1.519,1.437102526,2019Mar,2017Q2,Q2_MAR_2
226,2019Mar_2018Q2,1,1.4,1.697806408,1.8,1.8,2.1,1.5,1.57,1.6,1.772091062,1.546608681,2019Mar,2018Q2,Q2_MAR
