"condition","judge_draws","judgments_draw","samplesize","MSEout_OW","MSEout_OW_pos","MSEout_CWM","MSEout_SA","p_OW","p_OW_pos","p_CWM"
1,2,12,16,75338.1510904426,37159.3229813732,27621.5933333333,27621.5933333333,0.9919,0.9971,"No need to compare!"
1,2,13,16,28655.2527589575,28665.614053081,33053.1588541667,25178.8183333333,0.9894,0.9768,"0.9943"
1,2,14,16,33325.8976403474,33324.0514622788,29992.4166666667,24361.1666666667,0.906,0.9045,"0.9701"
1,2,15,16,30701.1210600682,31004.2678856479,22746.0116666667,22746.0116666667,0.9854,0.9921,"No need to compare!"
1,2,16,16,29440.533814687,29452.9931515733,29973.8194444444,27656.9733333333,0.9265,0.9697,"0.9906"
1,2,17,16,38923.2128339122,38826.3358862336,34958.9895833333,26438.4833333333,0.8917,0.8948,"0.9862"
1,2,18,16,33127.0811331744,21185.4176534495,25476.3703703704,19345.9433333333,0.8937,0.9877,"0.9807"
1,2,19,16,66123.30937833,30843.1878094816,33269.0601851852,26173.4316666667,0.9913,0.9788,"0.9222"
1,2,20,16,26739.9158570838,26638.7569395436,24741.02,24741.02,1,0.999,"No need to compare!"
1,2,21,16,44919.0903040495,43239.0901463602,44846.9027777778,27496.035,0.9724,0.9024,"0.9866"
1,2,22,16,20442.5103301364,15433.868772948,17120.6759259259,10443.4666666667,0.999,0.994,"0.9997"
1,2,23,16,17825.3329006781,17914.5031450062,18617.75,18981.9783333333,0.9991,0.9994,"0.9998"
1,2,24,16,34473.8588326516,22643.9102508853,16915.5338541667,16675.39,0.9993,0.9859,"0.9954"
1,2,25,16,106648.592076204,34402.5140366063,34336.2638888889,26921.355,0.9918,0.937,"0.9777"
1,2,26,16,33940.7667340098,27215.1026309221,26711.0601851852,20917.955,0.9991,0.9994,"0.9957"
1,2,27,16,50187.4770525463,28372.1054393147,29824.0572916667,27193.7066666667,0.9972,0.9238,"0.8276"
1,2,28,16,55036.192802717,36288.3972568545,30668.2760416667,30158.9783333333,0.9903,0.9715,"0.9767"
1,2,29,16,31889.7294027662,32043.9945152511,25934.1064814815,22151.6733333333,0.9915,0.9936,"0.9987"
1,2,30,16,43769.3056473426,43687.6266062419,31196.7268518518,27249.615,0.996,0.9991,"0.9935"
1,2,31,16,23412.6244932857,23209.5186229645,20572.5963541667,19456.8933333333,0.9887,0.9976,"0.9986"
1,2,32,16,33101.5632924002,19601.6705011027,19041.2916666667,17453.9333333333,0.9998,0.9974,"0.9976"
1,2,33,16,25745.3285645813,25693.8678789832,24795.7685185185,21685.8033333333,0.9988,0.9993,"0.9925"
1,2,34,16,21457.2466765887,21618.6605242853,10930.4322916667,11717.525,0.9991,0.9909,"0.9998"
1,2,35,16,38452.4120562028,38580.2088294641,24134.1183333333,24134.1183333333,0.9453,0.9536,"No need to compare!"
1,2,36,16,120898.43724821,59572.873940772,33739.9907407407,29055.9716666667,0.9908,0.9968,"0.992"
